City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
86,arraial do cabo,100,BR,1574293981,87,-22.97,-42.02,72.97,17.87
87,erenhot,0,CN,1574293981,40,43.65,111.97,30.81,16.08
88,veraval,90,FR,1574293981,100,49.65,0.71,37.4,9.17
89,torbay,90,CA,1574293982,93,47.66,-52.73,37.99,18.34
90,sitka,100,US,1574293982,87,37.17,-99.65,59.0,18.01
91,longyearbyen,75,NO,1574293982,85,78.22,15.63,17.6,3.36
92,bundaberg,40,AU,1574293982,51,-24.87,152.35,82.99,12.75
93,coihaique,90,CL,1574293982,70,-45.58,-72.07,48.2,4.7
94,lorengau,91,PG,1574293982,74,-2.02,147.27,84.51,16.2
95,aklavik,40,CA,1574293982,83,68.22,-135.01,-0.4,3.36
96,college,75,US,1574293982,92,64.86,-147.8,8.6,3.78
97,cagdianao,34,PH,1574293982,77,9.92,125.67,81.84,2.77
98,tres arroyos,0,AR,1574293982,70,-38.38,-60.28,51.94,9.86
99,shubarshi,0,KZ,1574293983,60,48.59,57.19,5.31,14.58
100,basco,1,US,1574293983,71,40.33,-91.2,55.0,13.87
101,lagoa,40,PT,1574293983,93,37.14,-8.45,59.0,8.05
102,haljala,100,EE,1574293983,85,59.43,26.27,40.12,10.13
103,charters towers,21,AU,1574293983,31,-20.07,146.27,87.35,10.25
104,ondangwa,33,NA,1574293983,19,-17.91,15.98,77.04,13.49
105,ixtapa,90,MX,1574293983,69,20.71,-105.21,82.99,6.93
106,faanui,10,PF,1574293983,74,-16.48,-151.75,81.18,5.08
107,entebbe,75,UG,1574293983,94,0.06,32.45,68.0,5.82
108,teya,20,MX,1574293983,69,21.05,-89.07,78.8,6.93
109,vysokogornyy,100,RU,1574293983,92,50.1,139.13,-0.22,3.2
110,dudinka,75,RU,1574293984,91,69.41,86.18,3.2,8.95
111,hambantota,1,LK,1574293984,83,6.12,81.12,79.72,15.79
112,kenora,100,CA,1574293984,92,49.76,-94.48,28.4,9.17
113,yako,0,BF,1574293984,18,12.96,-2.26,79.99,10.36
114,upernavik,100,GL,1574293984,91,72.79,-56.15,17.46,5.14
115,scottsbluff,90,US,1574293984,64,41.87,-103.67,39.2,19.46
116,dukat,0,AL,1574293984,85,40.25,19.57,55.99,7.65
117,tromso,75,NO,1574293984,56,69.65,18.96,42.8,42.5
118,ambilobe,5,MG,1574293984,79,-13.19,49.05,77.41,7.85
119,san patricio,10,PY,1574293984,54,-26.98,-56.83,81.9,5.06
120,port alfred,20,ZA,1574293984,87,-33.59,26.89,60.01,3.0
121,victoria,75,BN,1574293984,88,5.28,115.24,77.0,8.52
122,pochutla,75,MX,1574293984,69,15.74,-96.47,86.0,4.81
123,vostok,100,RU,1574293985,91,46.45,135.83,3.15,4.36
124,port hardy,75,CA,1574293985,81,50.7,-127.42,46.4,0.76
125,narsaq,0,GL,1574293985,62,60.91,-46.05,24.8,3.36
